
optmask_dem_v2_eps40_steps10_bound7_n20_ens1, ens1, mean cosine similarty,0.5632
optmask_dem_v2_eps40_steps10_bound7_n20_ens1, ens1, mean cosine similarty,0.09195
optmask_dem_v2_eps40_steps5_bound7_n20_ens1, ens1, mean cosine similarty,0
optmask_dem_v2_eps40_steps10_bound7_n20_ens1, ens1, mean cosine similarty,0
optmask_dem_v2_eps40_steps10_bound7_n20_ens1, ens1, mean cosine similarty,0.00381
optmask_pict_catfeat_fill_eps40_steps5_ens4_model0178, ens1, mean cosine similarty,0.5275
optmask_pict_catfeat_fill_eps40_steps10_ens4_model0178, ens1, mean cosine similarty,0.58168
optmask_pict_catfeat_fill_eps40_steps20_ens4_model0178, ens1, mean cosine similarty,0.60174
optmask_pict_catfeat_fill_eps40_steps30_ens4_model0178, ens1, mean cosine similarty,0.60442
optmask_pict_catfeat_fill_eps40_steps60_ens4_model0178, ens1, mean cosine similarty,0.60512
optmask_pict_catfeat_fill_eps40_steps70_ens4_model0178, ens1, mean cosine similarty,0.60486
optmask_pict_catfeat_fill_eps40_steps50_ens4_model0178, ens1, mean cosine similarty,0.60535
optmask_pict_catfeat_fill_eps40_steps40_ens4_model0178, ens1, mean cosine similarty,0.60491
optmask_pict_catfeat_fill_eps40_steps100_ens4_model0178, ens1, mean cosine similarty,0.60513
optmask_pict_catfeat_fill_eps40_steps150_ens4_model0178, ens1, mean cosine similarty,0.60481
optmask_pict_catfeat_fill_eps40_steps200_ens4_model0178, ens1, mean cosine similarty,0.60487
optmask_pict_catfeat_fill_eps40_steps0_ens4_model0178, ens1, mean cosine similarty,0.30961
optmask_ct_catfeat_fill_alpha1.6_steps10_ens4_model0178, ens1, mean cosine similarty,0.47175
optmask_ct_catfeat_fill_alpha1.6_steps20_ens4_model0178, ens1, mean cosine similarty,0.54254
optmask_ct_catfeat_fill_alpha1.6_steps5_ens4_model0178, ens1, mean cosine similarty,0.41246
optmask_ct_catfeat_fill_alpha1.6_steps40_ens4_model0178, ens1, mean cosine similarty,0.5991
optmask_ct_catfeat_fill_alpha1.6_steps60_ens4_model0178, ens1, mean cosine similarty,0.60148
optmask_ct_catfeat_fill_alpha1.6_steps30_ens4_model0178, ens1, mean cosine similarty,0.58012
optmask_ct_catfeat_fill_alpha1.6_steps100_ens4_model0178, ens1, mean cosine similarty,0.49012
optmask_ct_catfeat_fill_alpha1.6_steps100_ens4_model0178, ens1, mean cosine similarty,0.47537
optmask_ct_catfeat_fill_alpha1.6_steps100_ens4_model0178, ens1, mean cosine similarty,0.53447
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.90062
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.64278
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.84167
